"Table 1 – Population and population growth rate, provinces and territories, 2011 to 2016 and 2016 to 2021",,,,,
 , Population in 2011, Population in 2016, Population in 2021, 2011 to 2016 Population growth rate, 2016 to 2021 Population growth rate
,number,number,number,%,%
Canada,33476688,35151728,36991981,5,5.2
Newfoundland and Labrador,514536,519716,510550,1,-1.8
Prince Edward Island,140204,142907,154331,1.9,8
Nova Scotia,921727,923598,969383,0.2,5
New Brunswick,751171,747101,775610,-0.5,3.8
Quebec,7903001,8164361,8501833,3.3,4.1
Ontario,12851821,13448494,14223942,4.6,5.8
Manitoba,1208268,1278365,1342153,5.8,5
Saskatchewan,1033381,1098352,1132505,6.3,3.1
Alberta,3645257,4067175,4262635,11.6,4.8
British Columbia,4400057,4648055,5000879,5.6,7.6
Yukon,33897,35874,40232,5.8,12.1
Northwest Territories,41462,41786,41070,0.8,-1.7
Nunavut,31906,35944,36858,12.7,2.5
,,,,,
Source(s):,,,,,
"Census of Population, 2011 to 2021 (3901).",,,,,
